beta,load_comb,d,f_cck,chi1,chi2,rho,weight
3.88787608572954,traffic,150,20,0.1,0,0.005,0
3.88787608572954,traffic,150,20,0.1,0,0.01,0
3.88787608572955,traffic,150,20,0.1,0,0.015,0
4.11562528133518,traffic,150,20,0.2,0,0.005,0.2564
4.11562528133519,traffic,150,20,0.2,0,0.01,0.2564
4.11562528133512,traffic,150,20,0.2,0,0.015,0.2564
4.33114318442817,traffic,150,20,0.3,0,0.005,0.9295
4.33114318442806,traffic,150,20,0.3,0,0.01,0.9295
4.33114318442827,traffic,150,20,0.3,0,0.015,0.9295
4.51911270122192,traffic,150,20,0.4,0,0.005,1
4.51911270122191,traffic,150,20,0.4,0,0.01,1
4.51911270122191,traffic,150,20,0.4,0,0.015,1
4.65926576949472,traffic,150,20,0.5,0,0.005,0.7692
4.65926576949473,traffic,150,20,0.5,0,0.01,0.7692
4.65926576949473,traffic,150,20,0.5,0,0.015,0.7692
4.73290303579997,traffic,150,20,0.6,0,0.005,0.2564
4.73290303579996,traffic,150,20,0.6,0,0.01,0.2564
4.73290303579996,traffic,150,20,0.6,0,0.015,0.2564
4.7383654602909,traffic,150,20,0.7,0,0.005,0.0769
4.73836546029089,traffic,150,20,0.7,0,0.01,0.0769
4.73836546029089,traffic,150,20,0.7,0,0.015,0.0769
4.69515155004027,traffic,150,20,0.8,0,0.005,0
4.69515155004026,traffic,150,20,0.8,0,0.01,0
4.69515155004026,traffic,150,20,0.8,0,0.015,0
4.62518882973615,traffic,150,20,0.9,0,0.005,0
4.62518882973617,traffic,150,20,0.9,0,0.01,0
4.62518882973616,traffic,150,20,0.9,0,0.015,0
3.88787608572955,traffic,150,40,0.1,0,0.005,0
3.88787608572954,traffic,150,40,0.1,0,0.01,0
3.88787608572953,traffic,150,40,0.1,0,0.015,0
4.11562528133518,traffic,150,40,0.2,0,0.005,0.2564
4.11562528133519,traffic,150,40,0.2,0,0.01,0.2564
4.11562528133519,traffic,150,40,0.2,0,0.015,0.2564
4.33114318442808,traffic,150,40,0.3,0,0.005,0.9295
4.33114318442826,traffic,150,40,0.3,0,0.01,0.9295
4.33114318442829,traffic,150,40,0.3,0,0.015,0.9295
4.51911270122192,traffic,150,40,0.4,0,0.005,1
4.51911270122192,traffic,150,40,0.4,0,0.01,1
4.51911270122191,traffic,150,40,0.4,0,0.015,1
4.65926576949474,traffic,150,40,0.5,0,0.005,0.7692
4.65926576949474,traffic,150,40,0.5,0,0.01,0.7692
4.65926576949474,traffic,150,40,0.5,0,0.015,0.7692
4.73290303579996,traffic,150,40,0.6,0,0.005,0.2564
4.73290303579997,traffic,150,40,0.6,0,0.01,0.2564
4.73290303579998,traffic,150,40,0.6,0,0.015,0.2564
4.73836546029088,traffic,150,40,0.7,0,0.005,0.0769
4.7383654602909,traffic,150,40,0.7,0,0.01,0.0769
4.7383654602909,traffic,150,40,0.7,0,0.015,0.0769
4.69515155004025,traffic,150,40,0.8,0,0.005,0
4.69515155004025,traffic,150,40,0.8,0,0.01,0
4.69515155004025,traffic,150,40,0.8,0,0.015,0
4.62518882973617,traffic,150,40,0.9,0,0.005,0
4.62518882973614,traffic,150,40,0.9,0,0.01,0
4.62518882973617,traffic,150,40,0.9,0,0.015,0
3.85276723923885,traffic,150,60,0.1,0,0.005,0
3.85276723923884,traffic,150,60,0.1,0,0.01,0
3.85276723923884,traffic,150,60,0.1,0,0.015,0
4.08079616165988,traffic,150,60,0.2,0,0.005,0.2564
4.08079616165987,traffic,150,60,0.2,0,0.01,0.2564
4.0807961616599,traffic,150,60,0.2,0,0.015,0.2564
4.29669747347245,traffic,150,60,0.3,0,0.005,0.9295
4.29669747347228,traffic,150,60,0.3,0,0.01,0.9295
4.29669747347239,traffic,150,60,0.3,0,0.015,0.9295
4.4851759906442,traffic,150,60,0.4,0,0.005,1
4.48517599064419,traffic,150,60,0.4,0,0.01,1
4.4851759906442,traffic,150,60,0.4,0,0.015,1
4.62603778085177,traffic,150,60,0.5,0,0.005,0.7692
4.62603778085176,traffic,150,60,0.5,0,0.01,0.7692
4.62603778085175,traffic,150,60,0.5,0,0.015,0.7692
4.70068279770673,traffic,150,60,0.6,0,0.005,0.2564
4.70068279770673,traffic,150,60,0.6,0,0.01,0.2564
4.70068279770671,traffic,150,60,0.6,0,0.015,0.2564
4.70737704476146,traffic,150,60,0.7,0,0.005,0.0769
4.70737704476145,traffic,150,60,0.7,0,0.01,0.0769
4.70737704476144,traffic,150,60,0.7,0,0.015,0.0769
4.66536626068677,traffic,150,60,0.8,0,0.005,0
4.66536626068676,traffic,150,60,0.8,0,0.01,0
4.66536626068676,traffic,150,60,0.8,0,0.015,0
4.59646105491472,traffic,150,60,0.9,0,0.005,0
4.59646105491475,traffic,150,60,0.9,0,0.01,0
